model,metric,term,estimate,std_error,t_value,p_value_corrected,stars
meta-llama--Llama-3.1-8B-Instruct,fernandez_huerta,(Intercept),95.7718518518518,0.8473557243881481,113.02437582634612,0,***
meta-llama--Llama-3.1-8B-Instruct,fernandez_huerta,groupB1,-7.602370370370157,1.1983419575841974,-6.344074262154843,0,***
meta-llama--Llama-3.1-8B-Instruct,fernandez_huerta,groupC1,-15.567777777777705,1.1983419575841974,-12.991097974372552,0,***
meta-llama--Llama-3.1-8B-Instruct,szigriszt_pazos,(Intercept),92.24492592592603,0.8384279866861031,110.02128673033117,0,***
meta-llama--Llama-3.1-8B-Instruct,szigriszt_pazos,groupB1,-7.731666666666775,1.1857162298446555,-6.520672039447183,0,***
meta-llama--Llama-3.1-8B-Instruct,szigriszt_pazos,groupC1,-15.724296296296284,1.1857162298446557,-13.261432963902646,0,***
meta-llama--Llama-3.1-8B-Instruct,gutierrez_polini,(Intercept),46.12333333333361,0.39104952878020094,117.94754868317044,0,***
meta-llama--Llama-3.1-8B-Instruct,gutierrez_polini,groupB1,-3.366333333333641,0.5530275471605677,-6.087098826482598,0,***
meta-llama--Llama-3.1-8B-Instruct,gutierrez_polini,groupC1,-7.072703703704029,0.5530275471605677,-12.789062208596489,0,***
google--gemma-3-12b-it,fernandez_huerta,(Intercept),97.27025925925935,0.7435491087668242,130.81887680637803,0,***
google--gemma-3-12b-it,fernandez_huerta,groupB1,-4.31233333333334,1.0515372339084708,-4.10098015959433,0.0072,**
google--gemma-3-12b-it,fernandez_huerta,groupC1,-16.760370370370392,1.0515372339084705,-15.93892239847141,0,***
google--gemma-3-12b-it,szigriszt_pazos,(Intercept),93.8221851851855,0.7454121766157688,125.8661826684208,0,***
google--gemma-3-12b-it,szigriszt_pazos,groupB1,-4.519962962963242,1.0541720097280685,-4.287690169395789,0,***
google--gemma-3-12b-it,szigriszt_pazos,groupC1,-17.240296296296567,1.0541720097280685,-16.354348376925536,0,***
google--gemma-3-12b-it,gutierrez_polini,(Intercept),45.790111111111074,0.3058580129366432,149.71035308660115,0,***
google--gemma-3-12b-it,gutierrez_polini,groupB1,-2.8591481481481464,0.4325485500554865,-6.610005160764914,0,***
google--gemma-3-12b-it,gutierrez_polini,groupC1,-8.19607407407404,0.4325485500554865,-18.948333251891988,0,***
mistralai--Mistral-7B-Instruct-v0.3,fernandez_huerta,(Intercept),92.13340740740874,0.6449444985163931,142.8547845889826,0,***
mistralai--Mistral-7B-Instruct-v0.3,fernandez_huerta,groupB1,-5.5725185185197565,0.9120892567797964,-6.109619729755371,0,***
mistralai--Mistral-7B-Instruct-v0.3,fernandez_huerta,groupC1,-12.971111111112455,0.9120892567797965,-14.221317721587898,0,***
mistralai--Mistral-7B-Instruct-v0.3,szigriszt_pazos,(Intercept),88.39322222222155,0.6472475392951899,136.5678768257288,0,***
mistralai--Mistral-7B-Instruct-v0.3,szigriszt_pazos,groupB1,-5.47299999999927,0.9153462482838718,-5.979158171304325,0,***
mistralai--Mistral-7B-Instruct-v0.3,szigriszt_pazos,groupC1,-12.914481481480756,0.9153462482838717,-14.10884843379579,0,***
mistralai--Mistral-7B-Instruct-v0.3,gutierrez_polini,(Intercept),43.13170370370321,0.29127393494664583,148.07951735057884,0,***
mistralai--Mistral-7B-Instruct-v0.3,gutierrez_polini,groupB1,-1.9720370370365665,0.41192354916732554,-4.787386011367644,0,***
mistralai--Mistral-7B-Instruct-v0.3,gutierrez_polini,groupC1,-5.305740740740294,0.41192354916732554,-12.880401597494185,0,***
Qwen--Qwen2.5-7B-Instruct,fernandez_huerta,(Intercept),100.50737037037196,0.7862146634721151,127.83705906286075,0,***
Qwen--Qwen2.5-7B-Instruct,fernandez_huerta,groupB1,-8.720962962964531,1.1118754400188633,-7.843471174088149,0,***
Qwen--Qwen2.5-7B-Instruct,fernandez_huerta,groupC1,-12.333851851853344,1.1118754400188633,-11.092835949001714,0,***
Qwen--Qwen2.5-7B-Instruct,szigriszt_pazos,(Intercept),96.78877777777737,0.7979475883169922,121.29716186237424,0,***
Qwen--Qwen2.5-7B-Instruct,szigriszt_pazos,groupB1,-8.698777777777394,1.1284683014607932,-7.7084821669486825,0,***
Qwen--Qwen2.5-7B-Instruct,szigriszt_pazos,groupC1,-12.482518518517969,1.1284683014607932,-11.06147022681935,0,***
Qwen--Qwen2.5-7B-Instruct,gutierrez_polini,(Intercept),46.93237037036988,0.3822868925923407,122.76740657288806,0,***
Qwen--Qwen2.5-7B-Instruct,gutierrez_polini,groupB1,-3.267999999999534,0.5406353082215558,-6.0447402348725,0,***
Qwen--Qwen2.5-7B-Instruct,gutierrez_polini,groupC1,-5.704703703703186,0.5406353082215558,-10.551851898961363,0,***
meta-llama--Llama-3.1-8B-Instruct,message_length,(Intercept),115.38148148148211,9.694939630800272,11.901206802249877,0,***
meta-llama--Llama-3.1-8B-Instruct,message_length,groupB1,76.89999999999931,13.710715112266124,5.60875194111514,0,***
meta-llama--Llama-3.1-8B-Instruct,message_length,groupC1,122.51851851851774,13.710715112266124,8.935968511876382,0,***
meta-llama--Llama-3.1-8B-Instruct,dependency_distance_mean,(Intercept),2.2618221212106735,0.029386114762139898,76.96907670573486,0,***
meta-llama--Llama-3.1-8B-Instruct,dependency_distance_mean,groupB1,0.3063301544686173,0.041558242042070447,7.371104729562709,0,***
meta-llama--Llama-3.1-8B-Instruct,dependency_distance_mean,groupC1,0.37630079773460207,0.041558242042070453,9.054781416251036,0,***
google--gemma-3-12b-it,message_length,(Intercept),92.80370370370366,7.493404429237237,12.384718398703894,0,***
google--gemma-3-12b-it,message_length,groupB1,82.41851851851851,10.597274172173925,7.7773319043618905,0,***
google--gemma-3-12b-it,message_length,groupC1,162.6962962962963,10.597274172173927,15.352655187831264,0,***
google--gemma-3-12b-it,dependency_distance_mean,(Intercept),2.3462362537346717,0.031427334738669516,74.65590936185129,0,***
google--gemma-3-12b-it,dependency_distance_mean,groupB1,0.14908291583012845,0.044444963016665534,3.354326468316034,0.0864,
google--gemma-3-12b-it,dependency_distance_mean,groupC1,0.17580385142368052,0.044444963016665534,3.955540504280751,0.0144,*
mistralai--Mistral-7B-Instruct-v0.3,message_length,(Intercept),162.7148148148141,7.23897355335538,22.477608685197254,0,***
mistralai--Mistral-7B-Instruct-v0.3,message_length,groupB1,55.7666666666674,10.237454576815349,5.447317616721011,0,***
mistralai--Mistral-7B-Instruct-v0.3,message_length,groupC1,88.3074074074082,10.237454576815349,8.625914454106299,0,***
mistralai--Mistral-7B-Instruct-v0.3,dependency_distance_mean,(Intercept),2.6218182596442747,0.022950722709396385,114.23684965575664,0,***
mistralai--Mistral-7B-Instruct-v0.3,dependency_distance_mean,groupB1,0.08660082331162214,0.03245722332189254,2.6681525542947324,0.6552,
mistralai--Mistral-7B-Instruct-v0.3,dependency_distance_mean,groupC1,0.1844563572915579,0.03245722332189255,5.683060299466259,0,***
Qwen--Qwen2.5-7B-Instruct,message_length,(Intercept),100.14814814814652,25.52381474731773,3.923713956538216,0.0144,*
Qwen--Qwen2.5-7B-Instruct,message_length,groupB1,110.41851851852029,36.09612497915531,3.0590130819384203,0.216,
Qwen--Qwen2.5-7B-Instruct,message_length,groupC1,166.14074074074264,36.09612497915531,4.602730648696643,0,***
Qwen--Qwen2.5-7B-Instruct,dependency_distance_mean,(Intercept),2.160087750114298,0.03326942537562768,64.92711327971185,0,***
Qwen--Qwen2.5-7B-Instruct,dependency_distance_mean,groupB1,0.2777031618588737,0.047050072578572244,5.902289765762158,0,***
Qwen--Qwen2.5-7B-Instruct,dependency_distance_mean,groupC1,0.3497547335370256,0.04705007257857225,7.433670435958316,0,***
meta-llama--Llama-3.1-8B-Instruct,surprisal_mean,(Intercept),1.3635756166926165,0.056401176753729354,24.176368210304304,0,***
meta-llama--Llama-3.1-8B-Instruct,surprisal_mean,groupB1,-0.2939674844184789,0.07976330909892637,-3.6854976020852646,0.0288,*
meta-llama--Llama-3.1-8B-Instruct,surprisal_mean,groupC1,-0.5211757765976381,0.07976330909892639,-6.534029022683227,0,***
google--gemma-3-12b-it,surprisal_mean,(Intercept),1.8313675262896705,0.03500120279179507,52.322988360816474,0,***
google--gemma-3-12b-it,surprisal_mean,groupB1,-0.2618364387797761,0.04949917568752768,-5.289713114268104,0,***
google--gemma-3-12b-it,surprisal_mean,groupC1,-0.555160032316609,0.04949917568752768,-11.215540958119286,0,***
mistralai--Mistral-7B-Instruct-v0.3,surprisal_mean,(Intercept),1.149891583957895,0.029194217474459376,39.38764876859193,0,***
mistralai--Mistral-7B-Instruct-v0.3,surprisal_mean,groupB1,-0.2128476675154608,0.04128685829525006,-5.155336983825391,0,***
mistralai--Mistral-7B-Instruct-v0.3,surprisal_mean,groupC1,-0.33305239965879707,0.041286858295250056,-8.066789613224552,0,***
Qwen--Qwen2.5-7B-Instruct,surprisal_mean,(Intercept),1.4897609056138554,0.04914741615858254,30.312090076249117,0,***
Qwen--Qwen2.5-7B-Instruct,surprisal_mean,groupB1,-0.12367116934482114,0.06950494248706193,-1.7793147497077928,1,
Qwen--Qwen2.5-7B-Instruct,surprisal_mean,groupC1,-0.1337750457715928,0.06950494248706195,-1.9246839287219677,1,
